Vek,Populacia
0,57486.50
1,58879.50
2,59662.50
3,59821.50
4,58705.00
5,57351.50
6,56727.50
7,56755.00
8,59307.00
9,59887.00
10,58991.50
11,58404.50
12,55713.50
13,54162.00
14,54152.50
15,54157.50
16,52737.50
17,51172.50
18,51145.00
19,53250.00
20,55452.50
21,56371.00
22,57715.50
23,59207.00
24,60479.50
25,63568.50
26,69257.50
27,73129.00
28,75442.00
29,77806.50
30,78450.50
31,79646.50
32,81220.00
33,82676.00
34,85192.00
35,86582.50
36,86695.00
37,86941.50
38,87135.50
39,87657.00
40,90313.00
41,92029.50
42,91465.50
43,91043.00
44,89772.50
45,88694.50
46,86296.00
47,81513.00
48,76708.00
49,73171.50
50,71270.00
51,68841.00
52,67243.00
53,68473.00
54,70521.00
55,72577.00
56,73028.00
57,70678.50
58,70000.50
59,70696.50
60,69662.50
61,70065.00
62,71811.50
63,72768.50
64,72490.00
65,70581.00
66,68267.50
67,66626.50
68,64976.50
69,61739.00
70,56480.50
71,52269.00
72,49352.00
73,43617.50
74,37717.50
75,35889.50
76,34120.00
77,31678.00
78,30121.00
79,28263.50
80,25564.50
81,22574.00
82,20115.50
83,17961.00
84,16357.00
85,14599.50
86,12733.50
87,11374.00
88,9831.00
89,8096.50
90,6553.00
91,5089.50
92,3854.50
93,2942.50
94,2272.50
95,1768.50
96,1309.50
97,977.50
98,741.50
